time	I(R7)
0.000000000000000e+000	1.041236e-002
1.098177944414136e-009	1.044447e-002
3.294533833242408e-009	1.050850e-002
7.687245610898952e-009	1.063588e-002
1.285169488191018e-008	1.078428e-002
2.173386650164422e-008	1.103632e-002
3.065291760695477e-008	1.128509e-002
4.312710509893347e-008	1.162470e-002
5.929642803159663e-008	1.204945e-002
8.377414051352616e-008	1.265393e-002
1.236277653964002e-007	1.351332e-002
2.033350151621483e-007	1.475151e-002
3.245366141900463e-007	1.542391e-002
4.728683724204708e-007	1.423257e-002
6.278316845298448e-007	1.071180e-002
7.895751511569071e-007	5.205560e-003
8.673213046442307e-007	2.065941e-003
9.026506536009837e-007	5.465667e-004
9.178662703050733e-007	-1.141328e-004
9.257752911634443e-007	-4.575078e-004
9.304816238793479e-007	-6.615634e-004
9.355466443483618e-007	-8.809040e-004
9.384743510677807e-007	-1.007555e-003
9.406147629190120e-007	-1.100057e-003
9.430067391576202e-007	-1.203349e-003
9.445761302434574e-007	-1.271069e-003
9.466727392722085e-007	-1.361471e-003
9.482729066111195e-007	-1.430415e-003
9.503126720752930e-007	-1.518226e-003
9.523422179608110e-007	-1.605521e-003
9.543425549228546e-007	-1.691477e-003
9.564130344953681e-007	-1.780360e-003
9.582762763825359e-007	-1.860262e-003
9.603859775844659e-007	-1.950638e-003
9.622117325379376e-007	-2.028760e-003
9.644968199350179e-007	-2.126420e-003
9.664207086430843e-007	-2.208536e-003
9.688700988753907e-007	-2.312931e-003
9.711642359640227e-007	-2.410558e-003
9.737841312855433e-007	-2.521856e-003
9.762455296276340e-007	-2.626228e-003
9.790115647334563e-007	-2.743286e-003
9.815339935756451e-007	-2.849808e-003
9.844628012269097e-007	-2.973212e-003
9.871665705256383e-007	-3.086859e-003
9.901870353309916e-007	-3.213475e-003
9.934647958835530e-007	-3.350479e-003
9.967951017687826e-007	-3.489210e-003
1.000790789091460e-006	-3.655047e-003
1.008422866894537e-006	-3.969706e-003
1.014487156413002e-006	-4.217698e-003
1.019759583845148e-006	-4.431898e-003
1.025121325548550e-006	-4.648011e-003
1.031917813639621e-006	-4.919332e-003
1.041073917948387e-006	-5.280621e-003
1.049879497935780e-006	-5.623234e-003
1.058949845783586e-006	-5.970382e-003
1.068760990742546e-006	-6.338842e-003
1.080104111428337e-006	-6.755281e-003
1.093115969800357e-006	-7.221784e-003
1.101526441657508e-006	-7.516712e-003
1.107300934128502e-006	-7.715612e-003
1.111445355753832e-006	-7.856634e-003
1.115335194156603e-006	-7.987732e-003
1.119456851963324e-006	-8.125518e-003
1.122543103162371e-006	-8.227896e-003
1.125911550110825e-006	-8.338762e-003
1.129860077119654e-006	-8.467775e-003
1.132882111180150e-006	-8.565777e-003
1.136146644379471e-006	-8.670843e-003
1.139495576282096e-006	-8.777839e-003
1.142792906076717e-006	-8.882401e-003
1.145909185495259e-006	-8.980502e-003
1.148657183997620e-006	-9.066387e-003
1.151711900990865e-006	-9.161148e-003
1.155200781869509e-006	-9.268536e-003
1.158660136949680e-006	-9.374150e-003
1.161799671346026e-006	-9.469209e-003
1.164827215051345e-006	-9.560126e-003
1.168014885036955e-006	-9.655041e-003
1.171656634442464e-006	-9.762549e-003
1.174716981851981e-006	-9.852089e-003
1.178055111638460e-006	-9.948840e-003
1.181682665944012e-006	-1.005298e-002
1.185254201816616e-006	-1.015450e-002
1.188724657503332e-006	-1.025213e-002
1.192129347075271e-006	-1.034692e-002
1.195675600789564e-006	-1.044461e-002
1.199415364267625e-006	-1.054652e-002
1.202753746331470e-006	-1.063647e-002
1.206391707406218e-006	-1.073333e-002
1.210675239230602e-006	-1.084600e-002
1.214326317163644e-006	-1.094080e-002
1.218244969028448e-006	-1.104110e-002
1.223063506156780e-006	-1.116269e-002
1.227153437866058e-006	-1.126432e-002
1.231479900852539e-006	-1.137008e-002
1.236160374496614e-006	-1.148259e-002
1.240909131953322e-006	-1.159473e-002
1.245670135204685e-006	-1.170511e-002
1.250145533128466e-006	-1.180668e-002
1.257139792428669e-006	-1.196181e-002
1.262825034792359e-006	-1.208481e-002
1.268634770460603e-006	-1.220714e-002
1.274402094148669e-006	-1.232518e-002
1.281513353792313e-006	-1.246624e-002
1.288832430734049e-006	-1.260648e-002
1.296087722646444e-006	-1.274043e-002
1.302685916661911e-006	-1.285762e-002
1.309635884180066e-006	-1.297596e-002
1.318025078089063e-006	-1.311195e-002
1.328423425435432e-006	-1.327099e-002
1.338524190732521e-006	-1.341557e-002
1.347872570892778e-006	-1.353993e-002
1.357101609460870e-006	-1.365370e-002
1.365973227897277e-006	-1.375442e-002
1.375789311922754e-006	-1.385529e-002
1.388928386254762e-006	-1.397335e-002
1.406081996068592e-006	-1.410166e-002
1.422978156886273e-006	-1.419948e-002
1.439759434736232e-006	-1.426686e-002
1.456104038368572e-006	-1.430451e-002
1.471126834004521e-006	-1.431449e-002
1.485579329132264e-006	-1.430183e-002
1.499016114545754e-006	-1.427057e-002
1.512391225685916e-006	-1.422072e-002
1.526034299398349e-006	-1.415056e-002
1.541855947501114e-006	-1.404376e-002
1.563962774314698e-006	-1.384897e-002
1.598004828670674e-006	-1.346522e-002
1.631710813906201e-006	-1.299142e-002
1.667076322087874e-006	-1.239443e-002
1.698191836957408e-006	-1.179175e-002
1.725036428753407e-006	-1.121607e-002
1.745582360573872e-006	-1.074281e-002
1.761036007612987e-006	-1.036884e-002
1.771752068814581e-006	-1.010082e-002
1.779472176530877e-006	-9.903348e-003
1.785289358346986e-006	-9.752126e-003
1.791468220001952e-006	-9.589368e-003
1.797733270286067e-006	-9.422480e-003
1.802356765966129e-006	-9.298122e-003
1.805704655168106e-006	-9.207333e-003
1.809244494430096e-006	-9.110698e-003
1.812588636362217e-006	-9.018901e-003
1.814924418978153e-006	-8.954455e-003
