time	I(R5)
0.000000000000000e+000	-4.809890e-005
4.665808215481571e-008	-1.555805e-005
1.399742464644471e-007	8.301744e-007
2.986828376780326e-007	6.780392e-007
4.633844894186279e-007	6.859386e-007
7.927877928963489e-007	5.092178e-007
1.192787792897443e-006	3.931005e-007
1.592787792898537e-006	2.714078e-007
1.992787792899631e-006	1.575361e-007
2.392787792900725e-006	4.747608e-008
2.792787792901819e-006	-5.511504e-008
3.192787792902913e-006	-1.545303e-007
3.592787792904006e-006	-2.467950e-007
3.992787792905100e-006	-3.364897e-007
4.392787792906194e-006	-5.466751e-007
4.475999999996316e-006	-5.212606e-007
4.642424414176560e-006	1.679193e-006
4.643424414172565e-006	1.275431e-006
4.645424414164573e-006	-2.845148e-007
4.649424414148590e-006	-1.846617e-006
4.657424414116623e-006	-1.268602e-006
4.673424414052690e-006	-8.074323e-009
4.705424413924825e-006	-5.949233e-007
4.769424413669093e-006	1.947325e-006
4.770424413665098e-006	1.804104e-006
4.772424413657106e-006	8.614958e-007
4.776424413641123e-006	-8.292121e-007
4.784424413609156e-006	-1.349134e-006
4.800424413545223e-006	-3.084705e-007
4.832424413417358e-006	-2.444363e-006
4.833424413413362e-006	-2.488064e-006
4.835424413405370e-006	-2.088618e-006
4.839424413389387e-006	-7.743126e-007
4.847424413357421e-006	1.335536e-007
4.860000000061343e-006	-1.912369e-006
4.861000000057347e-006	-2.080916e-006
4.863000000049356e-006	-1.941696e-006
4.867000000033372e-006	-7.570237e-007
4.868000000029377e-006	-3.464844e-007
4.870000000021385e-006	4.267213e-007
4.872000000013393e-006	8.975669e-007
4.873000000009398e-006	9.423210e-007
4.874000000005402e-006	8.152425e-007
4.875000000001406e-006	5.648170e-007
4.876000000000880e-006	6.912482e-007
4.876099999998745e-006	1.269370e-006
4.876299999997946e-006	3.257307e-006
4.876599999998482e-006	4.343672e-006
4.877000000000353e-006	2.064608e-006
4.877040000000193e-006	1.269414e-006
4.877119999999874e-006	-1.457195e-006
4.877279999999234e-006	-8.088217e-006
4.877599999997956e-006	-2.275014e-005
4.878239999995399e-006	-5.174367e-005
4.879519999990284e-006	-1.035658e-004
4.881682621919042e-006	-1.767739e-004
4.886007865776559e-006	-2.980195e-004
4.890594600633069e-006	-4.045605e-004
4.896759079754676e-006	-5.290230e-004
4.904069703381975e-006	-7.041710e-004
4.909961713154415e-006	-9.854122e-004
4.914022389165135e-006	-1.383124e-003
4.918545201116481e-006	-2.003796e-003
4.921007152963730e-006	-2.353716e-003
4.923904118929456e-006	-2.737924e-003
4.928893795726197e-006	-3.339540e-003
4.935168614449842e-006	-4.119414e-003
4.939636908864870e-006	-5.663699e-003
4.942425477692108e-006	-9.299502e-003
4.945956125296247e-006	-1.788234e-002
4.948438800542188e-006	-2.451864e-002
4.951393399822701e-006	-3.122881e-002
4.955045593609680e-006	-3.795523e-002
4.959343301216140e-006	-4.424002e-002
4.966276552897248e-006	-5.146696e-002
4.973047449039619e-006	-5.613977e-002
4.978572505247303e-006	-5.966561e-002
4.982455359323762e-006	-6.367373e-002
4.986436941179645e-006	-6.971914e-002
4.991013461557586e-006	-7.786061e-002
4.996062097924192e-006	-8.723601e-002
5.003368266288943e-006	-1.006149e-001
5.011370225752043e-006	-1.147804e-001
5.013125102024119e-006	-1.177504e-001
5.014293224442357e-006	-1.196687e-001
5.014891756402462e-006	-1.206487e-001
5.015396640137976e-006	-1.215319e-001
5.015734844539960e-006	-1.222810e-001
5.016065499789668e-006	-1.233406e-001
5.016520079607900e-006	-1.254072e-001
5.016986439451004e-006	-1.281413e-001
5.017193823390886e-006	-1.296462e-001
5.017416432259725e-006	-1.316484e-001
5.017643571608721e-006	-1.345908e-001
5.017958539264844e-006	-1.407247e-001
5.018330879305588e-006	-1.498437e-001
5.018388738387697e-006	-1.513086e-001
5.018504456551914e-006	-1.539980e-001
5.018735892880349e-006	-1.588667e-001
5.018773519844394e-006	-1.595680e-001
5.018848773769014e-006	-1.607905e-001
5.018999281618253e-006	-1.630100e-001
5.019106507242466e-006	-1.644389e-001
5.019176674374987e-006	-1.652966e-001
5.019262557144633e-006	-1.662806e-001
5.019305719871497e-006	-1.667587e-001
5.019356570622191e-006	-1.673142e-001
5.019413015144858e-006	-1.679268e-001
5.019525904193661e-006	-1.691706e-001
5.019751682287799e-006	-1.718131e-001
5.020203238476073e-006	-1.775123e-001
5.020838776490649e-006	-1.854613e-001
5.021607562976510e-006	-1.932368e-001
5.022332047063816e-006	-1.961637e-001
5.023333344459507e-006	-1.909373e-001
5.024329779571013e-006	-1.761754e-001
5.024908274347401e-006	-1.652492e-001
5.025178090447419e-006	-1.634804e-001
5.025486567312998e-006	-1.660124e-001
5.025742587649873e-006	-1.675192e-001
5.026030425455547e-006	-1.665176e-001
5.026429449953018e-006	-1.629277e-001
5.026865312087597e-006	-1.587074e-001
5.027573542499414e-006	-1.533003e-001
5.028022080924566e-006	-1.512835e-001
5.028376710042304e-006	-1.508079e-001
5.028802977861957e-006	-1.513287e-001
5.029276452878095e-006	-1.528874e-001
5.029597105667139e-006	-1.544273e-001
5.029789324678680e-006	-1.555430e-001
5.030021857466843e-006	-1.570472e-001
5.030251271541386e-006	-1.587810e-001
5.030584934184040e-006	-1.620728e-001
5.030959072189339e-006	-1.667674e-001
5.031336481053916e-006	-1.719756e-001
5.031393950506724e-006	-1.727025e-001
5.031508889408870e-006	-1.739187e-001
5.031738767216631e-006	-1.758625e-001
5.032198522832154e-006	-1.788462e-001
5.032362842927879e-006	-1.796841e-001
5.032531180535621e-006	-1.803997e-001
5.032654826292449e-006	-1.808982e-001
5.032780035014312e-006	-1.813883e-001
5.032899967415128e-006	-1.818409e-001
5.033139832220229e-006	-1.826119e-001
5.033619561826963e-006	-1.833296e-001
5.034265608185734e-006	-1.819636e-001
5.034934144613340e-006	-1.772887e-001
5.035322832993433e-006	-1.730107e-001
5.035465094917896e-006	-1.716214e-001
5.035576275919801e-006	-1.714590e-001
5.035739532640443e-006	-1.726038e-001
5.035882681726778e-006	-1.740707e-001
5.036035552102858e-006	-1.754221e-001
5.036198918714763e-006	-1.761850e-001
5.036425548773232e-006	-1.762003e-001
5.036728333827206e-006	-1.750814e-001
5.037153727151938e-006	-1.727042e-001
5.037839428262414e-006	-1.691214e-001
5.038438295901920e-006	-1.670435e-001
