time	V(n003)
0.000000000000000e+000	2.513669e+001
4.665808215481571e-008	2.513959e+001
1.399742464644471e-007	2.514062e+001
2.986828376780326e-007	2.513934e+001
4.633844894186279e-007	2.513796e+001
7.927877928963489e-007	2.513503e+001
1.192787792897443e-006	2.513121e+001
1.592787792898537e-006	2.512709e+001
1.992787792899631e-006	2.512265e+001
2.392787792900725e-006	2.511790e+001
2.792787792901819e-006	2.511283e+001
3.192787792902913e-006	2.510744e+001
3.592787792904006e-006	2.510173e+001
3.992787792905100e-006	2.509571e+001
4.392787792906194e-006	2.508942e+001
4.475999999996316e-006	2.508806e+001
4.642424414176560e-006	2.508568e+001
4.643424414172565e-006	2.508564e+001
4.645424414164573e-006	2.508546e+001
4.649424414148590e-006	2.508513e+001
4.657424414116623e-006	2.508493e+001
4.673424414052690e-006	2.508482e+001
4.705424413924825e-006	2.508425e+001
4.769424413669093e-006	2.508344e+001
4.770424413665098e-006	2.508343e+001
4.772424413657106e-006	2.508336e+001
4.776424413641123e-006	2.508311e+001
4.784424413609156e-006	2.508281e+001
4.800424413545223e-006	2.508262e+001
4.832424413417358e-006	2.508192e+001
4.833424413413362e-006	2.508188e+001
4.835424413405370e-006	2.508182e+001
4.839424413389387e-006	2.508185e+001
4.847424413357421e-006	2.508188e+001
4.860000000061343e-006	2.508153e+001
4.861000000057347e-006	2.508147e+001
4.863000000049356e-006	2.508139e+001
4.867000000033372e-006	2.508136e+001
4.868000000029377e-006	2.508138e+001
4.870000000021385e-006	2.508146e+001
4.872000000013393e-006	2.508152e+001
4.873000000009398e-006	2.508154e+001
4.874000000005402e-006	2.508154e+001
4.875000000001406e-006	2.508153e+001
4.876000000000880e-006	2.508150e+001
4.876099999998745e-006	2.508149e+001
4.876299999997946e-006	2.508148e+001
4.876599999998482e-006	2.508146e+001
4.877000000000353e-006	2.508144e+001
4.877040000000193e-006	2.508143e+001
4.877119999999874e-006	2.508143e+001
4.877279999999234e-006	2.508142e+001
4.877599999997956e-006	2.508142e+001
4.878239999995399e-006	2.508147e+001
4.879519999990284e-006	2.508168e+001
4.881682621919042e-006	2.508213e+001
4.886007865776559e-006	2.508263e+001
4.890594600633069e-006	2.508223e+001
4.896759079754676e-006	2.508133e+001
4.904069703381975e-006	2.508159e+001
4.909961713154415e-006	2.508312e+001
4.914022389165135e-006	2.508466e+001
4.918545201116481e-006	2.508633e+001
4.921007152963730e-006	2.508672e+001
4.923904118929456e-006	2.508615e+001
4.928893795726197e-006	2.508449e+001
4.935168614449842e-006	2.508415e+001
4.939636908864870e-006	2.508935e+001
4.942425477692108e-006	2.510650e+001
4.945956125296247e-006	2.515455e+001
4.948438800542188e-006	2.519395e+001
4.951393399822701e-006	2.521243e+001
4.955045593609680e-006	2.517572e+001
4.959343301216140e-006	2.511329e+001
4.966276552897248e-006	2.509409e+001
4.973047449039619e-006	2.513402e+001
4.978572505247303e-006	2.499599e+001
4.982455359323762e-006	2.455702e+001
4.986436941179645e-006	2.379130e+001
4.991013461557586e-006	2.275911e+001
4.996062097924192e-006	2.147655e+001
5.003368266288943e-006	1.936364e+001
5.011370225752043e-006	1.681708e+001
5.013125102024119e-006	1.622029e+001
5.014293224442357e-006	1.580807e+001
5.014891756402462e-006	1.559273e+001
5.015396640137976e-006	1.539996e+001
5.015734844539960e-006	1.524567e+001
5.016065499789668e-006	1.503675e+001
5.016520079607900e-006	1.462358e+001
5.016986439451004e-006	1.405719e+001
5.017193823390886e-006	1.373722e+001
5.017416432259725e-006	1.331605e+001
5.017643571608721e-006	1.275099e+001
5.017958539264844e-006	1.164063e+001
5.018330879305588e-006	9.967665e+000
5.018388738387697e-006	9.672305e+000
5.018504456551914e-006	9.055622e+000
5.018735892880349e-006	7.834659e+000
5.018773519844394e-006	7.640395e+000
5.018848773769014e-006	7.265003e+000
5.018999281618253e-006	6.541097e+000
5.019106507242466e-006	6.048026e+000
5.019176674374987e-006	5.739607e+000
5.019262557144633e-006	5.379817e+000
5.019305719871497e-006	5.205763e+000
5.019356570622191e-006	5.006236e+000
5.019413015144858e-006	4.793007e+000
5.019525904193661e-006	4.394012e+000
5.019751682287799e-006	3.696063e+000
5.020203238476073e-006	2.611097e+000
5.020838776490649e-006	1.641242e+000
5.021607562976510e-006	1.181687e+000
5.022332047063816e-006	1.482839e+000
5.023333344459507e-006	3.118262e+000
5.024329779571013e-006	6.087093e+000
5.024908274347401e-006	8.353891e+000
5.025178090447419e-006	9.138026e+000
5.025486567312998e-006	9.382645e+000
5.025742587649873e-006	9.320281e+000
5.026030425455547e-006	9.204620e+000
5.026429449953018e-006	9.054897e+000
5.026865312087597e-006	8.896329e+000
5.027573542499414e-006	8.645148e+000
5.028022080924566e-006	8.475648e+000
5.028376710042304e-006	8.309960e+000
5.028802977861957e-006	8.041254e+000
5.029276452878095e-006	7.648835e+000
5.029597105667139e-006	7.320148e+000
5.029789324678680e-006	7.090216e+000
5.030021857466843e-006	6.781147e+000
5.030251271541386e-006	6.437325e+000
5.030584934184040e-006	5.834907e+000
5.030959072189339e-006	5.010980e+000
5.031336481053916e-006	4.074595e+000
5.031393950506724e-006	3.929942e+000
5.031508889408870e-006	3.654757e+000
5.031738767216631e-006	3.169748e+000
5.032198522832154e-006	2.358016e+000
5.032362842927879e-006	2.128349e+000
5.032531180535621e-006	1.947770e+000
5.032654826292449e-006	1.839482e+000
5.032780035014312e-006	1.751751e+000
5.032899967415128e-006	1.690533e+000
5.033139832220229e-006	1.637712e+000
5.033619561826963e-006	1.743091e+000
5.034265608185734e-006	2.286503e+000
5.034934144613340e-006	3.323185e+000
5.035322832993433e-006	4.161589e+000
5.035465094917896e-006	4.491853e+000
5.035576275919801e-006	4.690609e+000
5.035739532640443e-006	4.853683e+000
5.035882681726778e-006	4.911324e+000
5.036035552102858e-006	4.921599e+000
5.036198918714763e-006	4.913586e+000
5.036425548773232e-006	4.893727e+000
5.036728333827206e-006	4.864403e+000
5.037153727151938e-006	4.823597e+000
5.037839428262414e-006	4.757351e+000
5.038438295901920e-006	4.687838e+000
5.038835960580884e-006	4.616477e+000
5.039240787239191e-006	4.495065e+000
5.039729943315946e-006	4.271405e+000
5.040166456669187e-006	4.003957e+000
5.040374881189885e-006	3.847505e+000
5.040604503330631e-006	3.650911e+000
5.040839115962037e-006	3.426851e+000
5.041170372477311e-006	3.055686e+000
5.041549989745486e-006	2.543546e+000
5.041942312482284e-006	1.945891e+000
5.042002533286322e-006	1.852312e+000
5.042122974897867e-006	1.674957e+000
5.042363858120957e-006	1.344625e+000
5.042417412989830e-006	1.278180e+000
5.042524522731046e-006	1.162698e+000
5.042738742213476e-006	9.595166e-001
5.042827916475201e-006	8.877898e-001
5.042916588041818e-006	8.281525e-001
5.042982817785729e-006	7.893555e-001
5.043045481632064e-006	7.575839e-001
5.043111866567807e-006	7.288253e-001
5.043187779392444e-006	7.031602e-001
5.043339605045188e-006	6.754841e-001
5.043643256347208e-006	7.095625e-001
5.044250558954716e-006	1.058767e+000
5.044901916606559e-006	1.787478e+000
5.045244079057709e-006	2.306910e+000
5.045515284352042e-006	2.650805e+000
5.045873447542121e-006	2.853098e+000
5.046232001641726e-006	2.893059e+000
5.046593350956780e-006	2.887146e+000
5.047032215231562e-006	2.873902e+000
5.047688095866088e-006	2.840376e+000
5.048114959632644e-006	2.798974e+000
5.048507285377452e-006	2.724060e+000
5.049034792498769e-006	2.551903e+000
5.049543582203581e-006	2.313624e+000
5.049775689956737e-006	2.174863e+000
5.049970006922033e-006	2.040565e+000
5.050148290157430e-006	1.906801e+000
5.050424770822182e-006	1.684939e+000
5.050734944223034e-006	1.415644e+000
5.051165579930683e-006	1.010377e+000
5.051595543752174e-006	5.889608e-001
5.051657266219589e-006	5.303414e-001
5.051780711154419e-006	4.244070e-001
5.052027601020609e-006	2.452442e-001
5.052294802902757e-006	9.906407e-002
5.052510610614736e-006	2.575678e-002
5.052727054425527e-006	-4.531997e-003
5.052926599819624e-006	5.876083e-003
5.053164624398837e-006	7.630354e-002
5.053587864928266e-006	3.260902e-001
5.053968718367330e-006	6.564200e-001
5.054193796046047e-006	8.723859e-001
5.054408521797116e-006	1.032310e+000
5.054664681994336e-006	1.138137e+000
