time	V(n003)	V(n008)
0.000000000000000e+000	2.319355e+000	9.787746e-001
1.098177944414136e-009	2.337018e+000	9.800608e-001
3.294533833242408e-009	2.372656e+000	9.825823e-001
7.687245610898952e-009	2.445041e+000	9.874390e-001
1.285169488191018e-008	2.532315e+000	9.928426e-001
2.173386650164422e-008	2.687510e+000	1.001585e+000
3.065291760695477e-008	2.850187e+000	1.009874e+000
4.312710509893347e-008	3.090517e+000	1.020892e+000
5.929642803159663e-008	3.424521e+000	1.034658e+000
8.377414051352616e-008	3.980693e+000	1.054893e+000
1.236277653964002e-007	5.018541e+000	1.086151e+000
2.033350151621483e-007	7.456637e+000	1.138793e+000
3.245366141900463e-007	1.167317e+001	1.183461e+000
4.728683724204708e-007	1.698888e+001	1.166135e+000
6.278316845298448e-007	2.177705e+001	1.057162e+000
7.895751511569071e-007	2.529040e+001	8.634622e-001
8.673213046442307e-007	2.619743e+001	7.429776e-001
9.026506536009837e-007	2.633328e+001	6.786500e-001
9.178662703050733e-007	2.633076e+001	6.475972e-001
9.257752911634443e-007	2.631408e+001	6.299388e-001
9.304816238793479e-007	2.629918e+001	6.186707e-001
9.355466443483618e-007	2.627974e+001	6.058905e-001
9.384743510677807e-007	2.626701e+001	5.981598e-001
9.406147629190120e-007	2.625676e+001	5.922588e-001
9.430067391576202e-007	2.624455e+001	5.854673e-001
9.445761302434574e-007	2.623612e+001	5.808895e-001
9.466727392722085e-007	2.622425e+001	5.745832e-001
9.482729066111195e-007	2.621472e+001	5.696076e-001
9.503126720752930e-007	2.620198e+001	5.630596e-001
9.523422179608110e-007	2.618876e+001	5.563553e-001
9.543425549228546e-007	2.617511e+001	5.495206e-001
9.564130344953681e-007	2.616031e+001	5.421752e-001
9.582762763825359e-007	2.614638e+001	5.353135e-001
9.603859775844659e-007	2.612997e+001	5.272855e-001
9.622117325379376e-007	2.611520e+001	5.200992e-001
9.644968199350179e-007	2.609594e+001	5.107630e-001
9.664207086430843e-007	2.607902e+001	5.025842e-001
9.688700988753907e-007	2.605658e+001	4.917653e-001
9.711642359640227e-007	2.603471e+001	4.812419e-001
9.737841312855433e-007	2.600865e+001	4.687119e-001
9.762455296276340e-007	2.598308e+001	4.564221e-001
9.790115647334563e-007	2.595314e+001	4.420418e-001
9.815339935756451e-007	2.592473e+001	4.283933e-001
9.844628012269097e-007	2.589036e+001	4.118727e-001
9.871665705256383e-007	2.585733e+001	3.959853e-001
9.901870353309916e-007	2.581893e+001	3.775062e-001
9.934647958835530e-007	2.577556e+001	3.566138e-001
9.967951017687826e-007	2.572954e+001	3.344230e-001
1.000790789091460e-006	2.567193e+001	3.066165e-001
1.008422866894537e-006	2.555417e+001	2.496741e-001
1.014487156413002e-006	2.545363e+001	2.009619e-001
1.019759583845148e-006	2.536172e+001	1.563682e-001
1.025121325548550e-006	2.526307e+001	1.084332e-001
1.031917813639621e-006	2.513069e+001	4.403079e-002
