time	V(vo2)
0.000000000000000e+000	4.481731e+001
1.098177944414136e-009	4.481731e+001
3.294533833242408e-009	4.481731e+001
7.687245610898952e-009	4.481730e+001
1.285169488191018e-008	4.481730e+001
2.173386650164422e-008	4.481728e+001
3.065291760695477e-008	4.481727e+001
4.312710509893347e-008	4.481725e+001
5.929642803159663e-008	4.481723e+001
8.377414051352616e-008	4.481719e+001
1.236277653964002e-007	4.481714e+001
2.033350151621483e-007	4.481702e+001
3.245366141900463e-007	4.481681e+001
4.728683724204708e-007	4.481648e+001
6.278316845298448e-007	4.481604e+001
7.895751511569071e-007	4.481547e+001
8.673213046442307e-007	4.481516e+001
9.026506536009837e-007	4.481501e+001
9.178662703050733e-007	4.481495e+001
9.257752911634443e-007	4.481491e+001
9.304816238793479e-007	4.481489e+001
9.355466443483618e-007	4.481487e+001
9.384743510677807e-007	4.481486e+001
9.406147629190120e-007	4.481485e+001
9.430067391576202e-007	4.481483e+001
9.445761302434574e-007	4.481482e+001
9.466727392722085e-007	4.481482e+001
9.482729066111195e-007	4.481481e+001
9.503126720752930e-007	4.481480e+001
9.523422179608110e-007	4.481479e+001
9.543425549228546e-007	4.481478e+001
9.564130344953681e-007	4.481477e+001
9.582762763825359e-007	4.481477e+001
9.603859775844659e-007	4.481475e+001
9.622117325379376e-007	4.481474e+001
9.644968199350179e-007	4.481473e+001
9.664207086430843e-007	4.481472e+001
9.688700988753907e-007	4.481471e+001
9.711642359640227e-007	4.481470e+001
9.737841312855433e-007	4.481469e+001
9.762455296276340e-007	4.481467e+001
9.790115647334563e-007	4.481466e+001
9.815339935756451e-007	4.481465e+001
9.844628012269097e-007	4.481463e+001
9.871665705256383e-007	4.481462e+001
9.901870353309916e-007	4.481460e+001
9.934647958835530e-007	4.481459e+001
9.967951017687826e-007	4.481457e+001
1.000790789091460e-006	4.481455e+001
1.008422866894537e-006	4.481451e+001
1.014487156413002e-006	4.481448e+001
1.019759583845148e-006	4.481446e+001
1.025121325548550e-006	4.481443e+001
1.031917813639621e-006	4.481440e+001
1.041073917948387e-006	4.481436e+001
1.049879497935780e-006	4.481432e+001
1.058949845783586e-006	4.481428e+001
1.068760990742546e-006	4.481424e+001
1.080104111428337e-006	4.481419e+001
1.093115969800357e-006	4.481416e+001
1.101526441657508e-006	4.481416e+001
1.107300934128502e-006	4.481417e+001
1.111445355753832e-006	4.481417e+001
1.115335194156603e-006	4.481416e+001
1.119456851963324e-006	4.481416e+001
1.122543103162371e-006	4.481414e+001
1.125911550110825e-006	4.481414e+001
1.129860077119654e-006	4.481413e+001
1.132882111180150e-006	4.481412e+001
1.136146644379471e-006	4.481411e+001
1.139495576282096e-006	4.481410e+001
1.142792906076717e-006	4.481409e+001
1.145909185495259e-006	4.481408e+001
