x-axis,1,2,3
second,Volt,Volt,Volt
-51.5400E-06,+428.1250000000E+00,+4.1125000000E+00,+408.7500000000E+00
-51.4400E-06,+412.5000000000E+00,+4.1437500000E+00,+407.1875000000E+00
-51.3400E-06,+415.6250000000E+00,+4.1375000000E+00,+406.5625000000E+00
-51.2400E-06,+412.5000000000E+00,+4.1437500000E+00,+406.5625000000E+00
-51.1400E-06,+406.2500000000E+00,+4.1375000000E+00,+405.6250000000E+00
-51.0400E-06,+171.8749999999E+00,+3.9562500000E+00,+405.9375000000E+00
-50.9400E-06,-3.1250000000E+00,+3.4875000000E+00,+406.5625000000E+00
-50.8400E-06,-15.6250000000E+00,+4.1125000000E+00,+405.6250000000E+00
-50.7400E-06,-15.6250000000E+00,+4.1625000000E+00,+405.9375000000E+00
-50.6400E-06,-6.2500000000E+00,+4.3937500000E+00,+405.6250000000E+00
-50.5400E-06,-9.3750000000E+00,+4.2937500000E+00,+405.9375000000E+00
-50.4400E-06,-6.2500000000E+00,+4.1187500000E+00,+405.6250000000E+00
-50.3400E-06,+0.0E+00,+4.0875000000E+00,+405.9375000000E+00
-50.2400E-06,-9.3750000000E+00,+4.0375000000E+00,+406.5625000000E+00
-50.1400E-06,-6.2500000000E+00,+3.9500000000E+00,+406.5625000000E+00
-50.0400E-06,+0.0E+00,+4.0437500000E+00,+406.5625000000E+00
-49.9400E-06,-9.3750000000E+00,+4.0437500000E+00,+405.6250000000E+00
-49.8400E-06,-6.2500000000E+00,+4.0437500000E+00,+405.9375000000E+00
-49.7400E-06,-9.3750000000E+00,+4.1500000000E+00,+405.6250000000E+00
-49.6400E-06,-6.2500000000E+00,+4.0750000000E+00,+405.0000000000E+00
-49.5400E-06,+0.0E+00,+4.1312500000E+00,+405.0000000000E+00
-49.4400E-06,+0.0E+00,+4.0500000000E+00,+405.9375000000E+00
-49.3400E-06,+0.0E+00,+4.1062500000E+00,+406.5625000000E+00
-49.2400E-06,+0.0E+00,+4.0500000000E+00,+406.5625000000E+00
-49.1400E-06,-9.3750000000E+00,+4.0500000000E+00,+406.5625000000E+00
-49.0400E-06,-15.6250000000E+00,+4.0687500000E+00,+405.6250000000E+00
-48.9400E-06,-15.6250000000E+00,+4.0687500000E+00,+405.0000000000E+00
-48.8400E-06,-6.2500000000E+00,+4.0750000000E+00,+405.0000000000E+00
