x-axis,1,2,3
second,Volt,Volt,Volt
-101.7000E-06,+15.8343753815E+00,+4.2593750954E+00,+426.5625000000E+00
-101.5000E-06,+15.8656253815E+00,+4.2593750954E+00,+442.1875000000E+00
-101.3000E-06,+15.8812503815E+00,+4.2750000954E+00,+450.0000000000E+00
-101.1000E-06,+15.8812503815E+00,+4.2828125954E+00,+442.1875000000E+00
-100.9000E-06,+15.8656253815E+00,+4.2750000954E+00,+434.3750000000E+00
-100.7000E-06,+15.8656253815E+00,+4.2750000954E+00,+426.5625000000E+00
-100.5000E-06,+15.8890628815E+00,+4.2750000954E+00,+426.5625000000E+00
-100.3000E-06,+15.8890628815E+00,+4.2828125954E+00,+434.3750000000E+00
-100.1000E-06,+15.8812503815E+00,+4.2984375954E+00,+426.5625000000E+00
-99.9000E-06,+15.8968753815E+00,+4.2984375954E+00,+426.5625000000E+00
-99.7000E-06,+15.8968753815E+00,+4.2906250954E+00,+434.3750000000E+00
-99.5000E-06,+15.8968753815E+00,+4.2906250954E+00,+434.3750000000E+00
-99.3000E-06,+15.9125003815E+00,+4.2906250954E+00,+434.3750000000E+00
-99.1000E-06,+15.8968753815E+00,+4.2984375954E+00,+426.5625000000E+00
-98.9000E-06,+15.8890628815E+00,+4.3062500954E+00,+426.5625000000E+00
-98.7000E-06,+15.8890628815E+00,+4.2906250954E+00,+426.5625000000E+00
-98.5000E-06,+15.8968753815E+00,+4.2828125954E+00,+426.5625000000E+00
-98.3000E-06,+15.8968753815E+00,+4.2750000954E+00,+426.5625000000E+00
-98.1000E-06,+15.8656253815E+00,+4.2593750954E+00,+426.5625000000E+00
-97.9000E-06,+15.8578128815E+00,+4.2593750954E+00,+426.5625000000E+00
-97.7000E-06,+15.8500003815E+00,+4.2593750954E+00,+426.5625000000E+00
-97.5000E-06,+15.8265628815E+00,+4.2671875954E+00,+434.3750000000E+00
-97.3000E-06,+15.8265628815E+00,+4.2593750954E+00,+426.5625000000E+00
-97.1000E-06,+15.8421878815E+00,+4.2437500954E+00,+426.5625000000E+00
-96.9000E-06,+15.8578128815E+00,+4.2593750954E+00,+434.3750000000E+00
-96.7000E-06,+15.8421878815E+00,+4.2750000954E+00,+434.3750000000E+00
-96.5000E-06,+15.8343753815E+00,+4.2671875954E+00,+434.3750000000E+00
-96.3000E-06,+15.8421878815E+00,+4.2593750954E+00,+426.5625000000E+00
-96.1000E-06,+15.8265628815E+00,+4.2515625954E+00,+434.3750000000E+00
-95.9000E-06,+15.8109378815E+00,+4.2437500954E+00,+442.1875000000E+00
-95.7000E-06,+15.8109378815E+00,+4.2515625954E+00,+434.3750000000E+00
-95.5000E-06,+15.8187503815E+00,+4.2593750954E+00,+426.5625000000E+00
-95.3000E-06,+15.8031253815E+00,+4.2515625954E+00,+426.5625000000E+00
-95.1000E-06,+15.7953128815E+00,+4.2281250954E+00,+426.5625000000E+00
-94.9000E-06,+15.8031253815E+00,+4.2203125954E+00,+418.7500000000E+00
-94.7000E-06,+15.8031253815E+00,+4.2203125954E+00,+418.7500000000E+00
-94.5000E-06,+15.8031253815E+00,+4.2046875954E+00,+426.5625000000E+00
-94.3000E-06,+15.8109378815E+00,+4.2046875954E+00,+434.3750000000E+00
-94.1000E-06,+15.8031253815E+00,+4.2046875954E+00,+426.5625000000E+00
-93.9000E-06,+15.7953128815E+00,+4.1968750954E+00,+418.7500000000E+00
-93.7000E-06,+15.8031253815E+00,+4.1890625954E+00,+426.5625000000E+00
-93.5000E-06,+15.8031253815E+00,+4.1812500954E+00,+426.5625000000E+00
-93.3000E-06,+15.6390628815E+00,+4.6968750954E+00,+223.4374999996E+00
-93.1000E-06,+15.5687503815E+00,+5.0640625954E+00,+20.3125000000E+00
-92.9000E-06,+15.7015628815E+00,+4.2750000954E+00,+12.5000000000E+00
-92.7000E-06,+15.7718753815E+00,+3.7515625954E+00,+12.5000000000E+00
-92.5000E-06,+15.7953128815E+00,+3.9000000954E+00,+20.3125000000E+00
-92.3000E-06,+15.8187503815E+00,+3.9703125954E+00,+12.5000000000E+00
-92.1000E-06,+15.8421878815E+00,+4.0562500954E+00,+4.6875000000E+00
-91.9000E-06,+15.8265628815E+00,+4.1031250954E+00,+4.6875000000E+00
-91.7000E-06,+15.8109378815E+00,+4.1500000954E+00,-3.1250000000E+00
-91.5000E-06,+15.7796878815E+00,+4.1890625954E+00,+4.6875000000E+00
-91.3000E-06,+15.7640628815E+00,+4.1812500954E+00,+12.5000000000E+00
-91.1000E-06,+15.7796878815E+00,+4.1656250954E+00,+4.6875000000E+00
-90.9000E-06,+15.7875003815E+00,+4.1343750954E+00,+4.6875000000E+00
-90.7000E-06,+15.7875003815E+00,+4.1187500954E+00,+12.5000000000E+00
-90.5000E-06,+15.7875003815E+00,+4.1109375954E+00,+12.5000000000E+00
-90.3000E-06,+15.7875003815E+00,+4.1031250954E+00,+4.6875000000E+00
-90.1000E-06,+15.7875003815E+00,+4.1031250954E+00,-3.1250000000E+00
-89.9000E-06,+15.8031253815E+00,+4.1109375954E+00,+12.5000000000E+00
-89.7000E-06,+15.8031253815E+00,+4.1265625954E+00,+59.3750000001E+00
-89.5000E-06,+15.7875003815E+00,+4.1500000954E+00,+129.6875000001E+00
-89.3000E-06,+15.7875003815E+00,+4.1578125954E+00,+207.8125000001E+00
-89.1000E-06,+15.7953128815E+00,+4.1421875954E+00,+301.5625000002E+00
-88.9000E-06,+15.7953128815E+00,+4.1343750954E+00,+387.5000000001E+00
-88.7000E-06,+15.7953128815E+00,+4.1265625954E+00,+434.3750000001E+00
-88.5000E-06,+15.7953128815E+00,+4.1500000954E+00,+442.1875000000E+00
-88.3000E-06,+15.7953128815E+00,+4.1812500954E+00,+434.3750000000E+00
-88.1000E-06,+15.7953128815E+00,+4.1890625954E+00,+442.1875000000E+00
-87.9000E-06,+15.7875003815E+00,+4.2046875954E+00,+442.1875000000E+00
-87.7000E-06,+15.7953128815E+00,+4.2125000954E+00,+434.3750000000E+00
-87.5000E-06,+15.8031253815E+00,+4.2281250954E+00,+434.3750000000E+00
-87.3000E-06,+15.8031253815E+00,+4.2437500954E+00,+434.3750000000E+00
-87.1000E-06,+15.8031253815E+00,+4.2515625954E+00,+434.3750000000E+00
-86.9000E-06,+15.8187503815E+00,+4.2515625954E+00,+426.5625000000E+00
-86.7000E-06,+15.8421878815E+00,+4.2515625954E+00,+426.5625000000E+00
-86.5000E-06,+15.8421878815E+00,+4.2750000954E+00,+434.3750000000E+00
-86.3000E-06,+15.8421878815E+00,+4.2828125954E+00,+426.5625000000E+00
-86.1000E-06,+15.8578128815E+00,+4.2906250954E+00,+426.5625000000E+00
-85.9000E-06,+15.8656253815E+00,+4.3062500954E+00,+434.3750000000E+00
-85.7000E-06,+15.8734378815E+00,+4.2984375954E+00,+434.3750000000E+00
-85.5000E-06,+15.8812503815E+00,+4.2828125954E+00,+442.1875000000E+00
-85.3000E-06,+15.8890628815E+00,+4.2828125954E+00,+442.1875000000E+00
-85.1000E-06,+15.8968753815E+00,+4.2984375954E+00,+434.3750000000E+00
-84.9000E-06,+15.9046878815E+00,+4.3062500954E+00,+434.3750000000E+00
-84.7000E-06,+15.9046878815E+00,+4.3062500954E+00,+434.3750000000E+00
-84.5000E-06,+15.9046878815E+00,+4.2984375954E+00,+434.3750000000E+00
-84.3000E-06,+15.8890628815E+00,+4.2984375954E+00,+434.3750000000E+00
-84.1000E-06,+15.8734378815E+00,+4.2984375954E+00,+434.3750000000E+00
-83.9000E-06,+15.8968753815E+00,+4.2984375954E+00,+434.3750000000E+00
-83.7000E-06,+15.9203128815E+00,+4.2906250954E+00,+426.5625000000E+00
-83.5000E-06,+15.9203128815E+00,+4.2828125954E+00,+426.5625000000E+00
-83.3000E-06,+15.9203128815E+00,+4.2906250954E+00,+434.3750000000E+00
-83.1000E-06,+15.9125003815E+00,+4.2828125954E+00,+434.3750000000E+00
-82.9000E-06,+15.8890628815E+00,+4.2828125954E+00,+426.5625000000E+00
-82.7000E-06,+15.8812503815E+00,+4.2828125954E+00,+426.5625000000E+00
-82.5000E-06,+15.8656253815E+00,+4.2828125954E+00,+426.5625000000E+00
-82.3000E-06,+15.8656253815E+00,+4.2828125954E+00,+418.7500000000E+00
-82.1000E-06,+15.8656253815E+00,+4.2671875954E+00,+418.7500000000E+00
-81.9000E-06,+15.8578128815E+00,+4.2671875954E+00,+418.7500000000E+00
-81.7000E-06,+15.8500003815E+00,+4.2828125954E+00,+426.5625000000E+00
-81.5000E-06,+15.8421878815E+00,+4.2828125954E+00,+426.5625000000E+00
-81.3000E-06,+15.8421878815E+00,+4.2828125954E+00,+426.5625000000E+00
-81.1000E-06,+15.8343753815E+00,+4.2671875954E+00,+434.3750000000E+00
-80.9000E-06,+15.8187503815E+00,+4.2515625954E+00,+434.3750000000E+00
-80.7000E-06,+15.8031253815E+00,+4.2515625954E+00,+434.3750000000E+00
-80.5000E-06,+15.8109378815E+00,+4.2515625954E+00,+426.5625000000E+00
-80.3000E-06,+15.8187503815E+00,+4.2593750954E+00,+418.7500000000E+00
-80.1000E-06,+15.8109378815E+00,+4.2437500954E+00,+418.7500000000E+00
-79.9000E-06,+15.8187503815E+00,+4.2203125954E+00,+418.7500000000E+00
-79.7000E-06,+15.8265628815E+00,+4.2203125954E+00,+418.7500000000E+00
-79.5000E-06,+15.8187503815E+00,+4.2203125954E+00,+418.7500000000E+00
-79.3000E-06,+15.8187503815E+00,+4.2125000954E+00,+418.7500000000E+00
-79.1000E-06,+15.8187503815E+00,+4.2203125954E+00,+426.5625000000E+00
-78.9000E-06,+15.8109378815E+00,+4.2203125954E+00,+426.5625000000E+00
-78.7000E-06,+15.8031253815E+00,+4.2203125954E+00,+426.5625000000E+00
-78.5000E-06,+15.8109378815E+00,+4.2203125954E+00,+426.5625000000E+00
-78.3000E-06,+15.8187503815E+00,+4.2125000954E+00,+418.7500000000E+00
-78.1000E-06,+15.8109378815E+00,+4.2046875954E+00,+426.5625000000E+00
-77.9000E-06,+15.8109378815E+00,+4.1968750954E+00,+426.5625000000E+00
-77.7000E-06,+15.8343753815E+00,+4.1265625954E+00,+223.4374999989E+00
-77.5000E-06,+15.8031253815E+00,+4.3062500954E+00,+12.4999999999E+00
-77.3000E-06,+15.7250003815E+00,+4.3687500954E+00,-3.1250000000E+00
-77.1000E-06,+15.7875003815E+00,+4.0640625954E+00,-3.1250000000E+00
-76.9000E-06,+15.8656253815E+00,+3.9859375954E+00,-3.1250000000E+00
-76.7000E-06,+15.8265628815E+00,+4.0484375954E+00,-3.1250000000E+00
-76.5000E-06,+15.7718753815E+00,+4.1500000954E+00,+4.6875000000E+00
-76.3000E-06,+15.7562503815E+00,+4.2281250954E+00,+4.6875000000E+00
-76.1000E-06,+15.7718753815E+00,+4.2203125954E+00,+4.6875000000E+00
-75.9000E-06,+15.7718753815E+00,+4.1734375954E+00,+12.5000000000E+00
-75.7000E-06,+15.7875003815E+00,+4.1187500954E+00,+12.5000000000E+00
-75.5000E-06,+15.8031253815E+00,+4.0953125954E+00,+4.6875000000E+00
-75.3000E-06,+15.8031253815E+00,+4.0953125954E+00,+4.6875000000E+00
-75.1000E-06,+15.8109378815E+00,+4.1109375954E+00,+4.6874999999E+00
-74.9000E-06,+15.8109378815E+00,+4.1265625954E+00,+4.6875000001E+00
-74.7000E-06,+15.8031253815E+00,+4.1421875954E+00,+4.6874999999E+00
-74.5000E-06,+15.8031253815E+00,+4.1578125954E+00,+4.6875000001E+00
-74.3000E-06,+15.7953128815E+00,+4.1656250954E+00,+28.1250000001E+00
-74.1000E-06,+15.7875003815E+00,+4.1500000954E+00,+75.0000000002E+00
-73.9000E-06,+15.7875003815E+00,+4.1421875954E+00,+153.1250000003E+00
-73.7000E-06,+15.7953128815E+00,+4.1343750954E+00,+246.8750000003E+00
-73.5000E-06,+15.8031253815E+00,+4.1187500954E+00,+340.6250000003E+00
-73.3000E-06,+15.7953128815E+00,+4.1187500954E+00,+410.9375000002E+00
-73.1000E-06,+15.7875003815E+00,+4.1421875954E+00,+442.1875000001E+00
-72.9000E-06,+15.7953128815E+00,+4.1734375954E+00,+450.0000000000E+00
-72.7000E-06,+15.8031253815E+00,+4.1812500954E+00,+442.1874999999E+00
-72.5000E-06,+15.8109378815E+00,+4.1968750954E+00,+434.3750000000E+00
-72.3000E-06,+15.8109378815E+00,+4.2125000954E+00,+434.3750000000E+00
-72.1000E-06,+15.8031253815E+00,+4.2203125954E+00,+442.1875000001E+00
-71.9000E-06,+15.8031253815E+00,+4.2437500954E+00,+442.1874999999E+00
-71.7000E-06,+15.8109378815E+00,+4.2437500954E+00,+434.3750000000E+00
-71.5000E-06,+15.8187503815E+00,+4.2515625954E+00,+434.3750000000E+00
-71.3000E-06,+15.8265628815E+00,+4.2671875954E+00,+434.3750000000E+00
-71.1000E-06,+15.8343753815E+00,+4.2671875954E+00,+434.3750000000E+00
-70.9000E-06,+15.8578128815E+00,+4.2750000954E+00,+434.3750000000E+00
-70.7000E-06,+15.8578128815E+00,+4.2750000954E+00,+434.3750000000E+00
-70.5000E-06,+15.8421878815E+00,+4.2828125954E+00,+434.3750000000E+00
-70.3000E-06,+15.8578128815E+00,+4.2828125954E+00,+434.3750000000E+00
-70.1000E-06,+15.8734378815E+00,+4.2750000954E+00,+426.5624999999E+00
-69.9000E-06,+15.8890628815E+00,+4.2828125954E+00,+426.5625000001E+00
-69.7000E-06,+15.8968753815E+00,+4.2906250954E+00,+442.1875000001E+00
-69.5000E-06,+15.9046878815E+00,+4.2984375954E+00,+442.1874999999E+00
-69.3000E-06,+15.8890628815E+00,+4.3062500954E+00,+434.3750000000E+00
-69.1000E-06,+15.8890628815E+00,+4.2906250954E+00,+434.3750000000E+00
-68.9000E-06,+15.9125003815E+00,+4.2828125954E+00,+434.3750000000E+00
-68.7000E-06,+15.9046878815E+00,+4.2984375954E+00,+426.5624999999E+00
-68.5000E-06,+15.8968753815E+00,+4.2984375954E+00,+426.5625000001E+00
-68.3000E-06,+15.8968753815E+00,+4.2906250954E+00,+434.3750000000E+00
-68.1000E-06,+15.8968753815E+00,+4.2828125954E+00,+426.5624999999E+00
-67.9000E-06,+15.8968753815E+00,+4.2750000954E+00,+426.5625000001E+00
-67.7000E-06,+15.8968753815E+00,+4.2828125954E+00,+434.3750000000E+00
-67.5000E-06,+15.8968753815E+00,+4.2828125954E+00,+434.3750000000E+00
-67.3000E-06,+15.8890628815E+00,+4.2828125954E+00,+426.5624999999E+00
-67.1000E-06,+15.8734378815E+00,+4.2750000954E+00,+426.5625000001E+00
-66.9000E-06,+15.8734378815E+00,+4.2671875954E+00,+434.3750000000E+00
-66.7000E-06,+15.8812503815E+00,+4.2671875954E+00,+434.3750000000E+00
-66.5000E-06,+15.8734378815E+00,+4.2671875954E+00,+434.3750000000E+00
-66.3000E-06,+15.8656253815E+00,+4.2906250954E+00,+434.3750000000E+00
-66.1000E-06,+15.8578128815E+00,+4.2906250954E+00,+434.3750000000E+00
-65.9000E-06,+15.8421878815E+00,+4.2750000954E+00,+434.3750000000E+00
-65.7000E-06,+15.8343753815E+00,+4.2750000954E+00,+434.3750000000E+00
-65.5000E-06,+15.8187503815E+00,+4.2671875954E+00,+434.3750000000E+00
-65.3000E-06,+15.8187503815E+00,+4.2671875954E+00,+434.3750000000E+00
-65.1000E-06,+15.8187503815E+00,+4.2671875954E+00,+426.5624999999E+00
